"Feature ID"	"Taxon"	"Confidence"
"fc3295c87b642ed294dc071083c6b80d"	"d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__JG30-KF-CM45; g__JG30-KF-CM45; s__metagenome"	0.862566258132368
"f2a151be1cc761779891e249e9c89d50"	"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__Gaiella"	0.995484829139266
"b49d2d121504eb054ebe3e625e101e95"	"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured; s__uncultured_Acidobacteriales"	0.803920507499844
"2ada2a2040d7f5ddbe44cfbaa9978eb3"	"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured"	0.997372792927964
"75f23f007899699685d29f57568eba7a"	"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured"	0.740127989861801
"7876ab9083310b0c0c57e161bd0fc0ee"	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS_17; g__env.OPS_17"	0.999995309669473
"ad484e220972f31f2ec94d31dd91ea6e"	"d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Sandaracinaceae; g__uncultured; s__metagenome"	0.715619669354096
"8015eab5a0fc19da93a28cbaf7807407"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pir4_lineage"	0.910453809661144
"a61697b9873ee91fa390883f7896f8ee"	"d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__P3OB-42; s__uncultured_bacterium"	0.82262846568045
"0964472e4785f1295ce357a39e55788d"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae"	0.999997191463001
"4cf743475cd1ba4fdcc4c4caeffd2c71"	"d__Bacteria; p__Chloroflexi; c__TK10; o__TK10; f__TK10; g__TK10; s__uncultured_Chloroflexi"	0.827219681272335
"6f2f866511b0bc1c73a16de470d823f8"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__EPR3968-O8a-Bc78; f__EPR3968-O8a-Bc78; g__EPR3968-O8a-Bc78; s__uncultured_bacterium"	0.943084999713314
"370ffa10779db290147e82da9c86ecdf"	"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter"	0.999856069093098
"eff4b7aae7d8bad9edfe476334840828"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Rhodoplanes"	0.933194376925301
"5ba62bd0d069b5e1193f7146bb5ca55e"	"d__Bacteria; p__MBNT15; c__MBNT15; o__MBNT15; f__MBNT15; g__MBNT15; s__delta_proteobacterium"	0.781721772229686
"fe28cd607074524eac58c4a30588cc2d"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium"	0.999826435235231
"1353f4d385cb6e78e3f5939a8222264f"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pir4_lineage"	0.998577146375227
"da71efef12cdc887c095ffb53ff8f9cd"	"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41"	0.991034864730231
