"OTUID"	"WM13"	"WM14"	"WM15"	"WM16"	"WM20"	"WM21"	"WM22"	"WM23"	"WM24"	"WM25"	"WM26"	"WM27"	"WM28"	"WM29"	"WM30"	"WM43"	"WM44"	"WM45"	"WM46"	"WM48"	"WM49"	"WM50"	"WM51"	"WM52"	"WM53"	"WM55"	"WM56"	"WM57"	"WM58"	"WM60"
"3f1aa7cb564f94d8c4b558f49b9a69f4"	0	8	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a0dc3052fac8967182ff4f88348da0e5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
"1f69c04b35d445cbc5e1842a84c5debf"	0	0	0	0	0	0	0	0	4	3	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"58ee945ac0577234eda70276feae1e0b"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"f759b89767c4f9a38bc58032e41bdc4c"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7ac652764c15776a5dcae436751dc65d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	7	9	16	0	0	0	0	0
"b557e399e4780be275775b54cf554cea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	3	0	0	0
"bc7c24acb809afb95665536aff10ce93"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"12c3cf409c4cc05afcc90105b14613bd"	0	0	0	0	0	0	0	0	0	10	0	24	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"94029d2354490ad404bb2888b354595a"	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0696fd7e8d10d55e641d9f48e18af34b"	0	0	0	0	9	5	3	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15f151219938eb9a6e16efd667962d50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	1	0	0	1	0	0	0	0	0	0	0
"f810d0714e323d11da55a68ef81da5ae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0
"633df719e7a3f17f951d319956b5560f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0
"c029ea70db7205498a3fced6ddc04d3e"	0	0	0	0	0	0	0	0	0	4	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6661fa19cddb142e5aafdd4de510eac4"	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0f3711352b54b468711fa26d458a6e5f"	2	1	0	0	0	0	5	1	0	0	2	0	0	0	0	3	0	0	0	5	3	1	0	0	0	0	0	0	0	2
"d2e9ea719c24f417bf188c02fdf054c6"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2
"cb6ffaa1ba3b1e776f31ecfa102138fc"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"58e0acb4e63be620caa6ef0f5395b852"	0	0	0	0	3	0	0	0	3	6	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
